2025-11-05 00:50:15.038 | WARNING  | routers.trends:trending:47 - Error classifying paper The Denario project: Deep knowledge AI agents for scientific discovery: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2025-11-05 00:50:16.011 | WARNING  | routers.trends:trending:47 - Error classifying paper Cognition Envelopes for Bounded AI Reasoning in Autonomous UAS Operations: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2025-11-05 00:50:16.643 | WARNING  | routers.trends:trending:47 - Error classifying paper SUSTAINABLE Platform: Seamless Smart Farming Integration Towards Agronomy Automation: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2025-11-05 00:50:17.126 | WARNING  | routers.trends:trending:47 - Error classifying paper Causal Masking on Spatial Data: An Information-Theoretic Case for Learning Spatial Datasets with Unimodal Language Models: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2025-11-05 00:50:17.760 | WARNING  | routers.trends:trending:47 - Error classifying paper e1: Learning Adaptive Control of Reasoning Effort: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2025-11-05 00:50:18.466 | WARNING  | routers.trends:trending:47 - Error classifying paper Adaptive Data Flywheel: Applying MAPE Control Loops to AI Agent Improvement: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2025-11-05 00:50:20.735 | WARNING  | routers.trends:trending:47 - Error classifying paper CombiGraph-Vis: A Curated Multimodal Olympiad Benchmark for Discrete Mathematical Reasoning: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2025-11-05 00:50:21.035 | WARNING  | routers.trends:trending:47 - Error classifying paper Glia: A Human-Inspired AI for Automated Systems Design and Optimization: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2025-11-05 00:50:21.234 | WARNING  | routers.trends:trending:47 - Error classifying paper From product to system network challenges in system of systems lifecycle management: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2025-11-05 00:50:21.434 | WARNING  | routers.trends:trending:47 - Error classifying paper Fints: Efficient Inference-Time Personalization for LLMs with Fine-Grained Instance-Tailored Steering: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2025-11-05 00:50:21.575 | WARNING  | routers.trends:trending:47 - Error classifying paper GUI-Rise: Structured Reasoning and History Summarization for GUI Navigation: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
